"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Diseases of the nervous system"	"G00-G98"	109	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Diseases of the circulatory system"	"I00-I99"	420	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Diseases of the respiratory system"	"J00-J98"	133	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Diseases of the digestive system"	"K00-K92"	68	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Diseases of the genitourinary system"	"N00-N98"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"Codes for special purposes"	"U00-U99"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	"External causes of morbidity and mortality"	"V01-Y89"	142	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Certain infectious and parasitic diseases"	"A00-B99"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Neoplasms"	"C00-D48"	274	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	81	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Mental and behavioural disorders"	"F01-F99"	127	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Diseases of the nervous system"	"G00-G98"	88	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Diseases of the circulatory system"	"I00-I99"	396	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Diseases of the respiratory system"	"J00-J98"	143	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Diseases of the digestive system"	"K00-K92"	72	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Diseases of the genitourinary system"	"N00-N98"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"Codes for special purposes"	"U00-U99"	28	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	"External causes of morbidity and mortality"	"V01-Y89"	124	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Certain infectious and parasitic diseases"	"A00-B99"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Neoplasms"	"C00-D48"	299	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	69	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Mental and behavioural disorders"	"F01-F99"	126	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Diseases of the nervous system"	"G00-G98"	117	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Diseases of the circulatory system"	"I00-I99"	404	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Diseases of the respiratory system"	"J00-J98"	151	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Diseases of the digestive system"	"K00-K92"	69	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Diseases of the genitourinary system"	"N00-N98"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"Codes for special purposes"	"U00-U99"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	"External causes of morbidity and mortality"	"V01-Y89"	145	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Certain infectious and parasitic diseases"	"A00-B99"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Neoplasms"	"C00-D48"	298	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	78	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Mental and behavioural disorders"	"F01-F99"	144	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Diseases of the nervous system"	"G00-G98"	82	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Diseases of the circulatory system"	"I00-I99"	386	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Diseases of the respiratory system"	"J00-J98"	93	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Diseases of the digestive system"	"K00-K92"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Diseases of the genitourinary system"	"N00-N98"	32	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"Codes for special purposes"	"U00-U99"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	"External causes of morbidity and mortality"	"V01-Y89"	121	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Certain infectious and parasitic diseases"	"A00-B99"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Neoplasms"	"C00-D48"	319	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	77	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Mental and behavioural disorders"	"F01-F99"	112	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Diseases of the nervous system"	"G00-G98"	87	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Diseases of the circulatory system"	"I00-I99"	381	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Diseases of the respiratory system"	"J00-J98"	133	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Diseases of the digestive system"	"K00-K92"	58	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Diseases of the genitourinary system"	"N00-N98"	25	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"External causes of morbidity and mortality"	"V01-Y89"	47	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	73	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Certain infectious and parasitic diseases"	"A00-B99"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Neoplasms"	"C00-D48"	272	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	65	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Mental and behavioural disorders"	"F01-F99"	112	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Diseases of the nervous system"	"G00-G98"	90	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Diseases of the circulatory system"	"I00-I99"	342	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Diseases of the respiratory system"	"J00-J98"	127	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Diseases of the digestive system"	"K00-K92"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Diseases of the genitourinary system"	"N00-N98"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	124	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Certain infectious and parasitic diseases"	"A00-B99"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Neoplasms"	"C00-D48"	280	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	66	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Mental and behavioural disorders"	"F01-F99"	101	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Diseases of the nervous system"	"G00-G98"	114	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Diseases of the circulatory system"	"I00-I99"	372	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Diseases of the respiratory system"	"J00-J98"	126	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Diseases of the digestive system"	"K00-K92"	57	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Diseases of the genitourinary system"	"N00-N98"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	132	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Certain infectious and parasitic diseases"	"A00-B99"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Neoplasms"	"C00-D48"	312	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	95	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Mental and behavioural disorders"	"F01-F99"	119	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Diseases of the nervous system"	"G00-G98"	88	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Diseases of the circulatory system"	"I00-I99"	352	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Diseases of the respiratory system"	"J00-J98"	75	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Diseases of the digestive system"	"K00-K92"	44	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Diseases of the genitourinary system"	"N00-N98"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	29	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Codes for special purposes"	"U00-U99"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	106	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Neoplasms"	"C00-D48"	265	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	75	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Mental and behavioural disorders"	"F01-F99"	102	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Diseases of the nervous system"	"G00-G98"	86	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Diseases of the circulatory system"	"I00-I99"	323	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Diseases of the respiratory system"	"J00-J98"	96	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Diseases of the digestive system"	"K00-K92"	67	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Diseases of the genitourinary system"	"N00-N98"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Codes for special purposes"	"U00-U99"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	109	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Neoplasms"	"C00-D48"	292	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	76	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Mental and behavioural disorders"	"F01-F99"	121	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Diseases of the nervous system"	"G00-G98"	125	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Diseases of the circulatory system"	"I00-I99"	330	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Diseases of the respiratory system"	"J00-J98"	123	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Diseases of the digestive system"	"K00-K92"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Diseases of the genitourinary system"	"N00-N98"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	120	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Codes for special purposes"	"U00-U99"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2024 (provisional and partial)"	"2024/11"	"Neoplasms"	"C00-D48"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2024 (provisional and partial)"	"2024/11"	"Mental and behavioural disorders"	"F01-F99"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2024 (provisional and partial)"	"2024/11"	"Diseases of the circulatory system"	"I00-I99"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2024 (provisional and partial)"	"2024/11"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	11	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Certain infectious and parasitic diseases"	"A00-B99"	511	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Neoplasms"	"C00-D48"	4438	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	87	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1070	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Mental and behavioural disorders"	"F01-F99"	1201	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the nervous system"	"G00-G98"	1710	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the circulatory system"	"I00-I99"	6586	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the respiratory system"	"J00-J98"	2480	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the digestive system"	"K00-K92"	840	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	39	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	126	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Diseases of the genitourinary system"	"N00-N98"	695	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Certain conditions originating in the perinatal period"	"P00-P96"	66	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	69	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	204	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	"External causes of morbidity and mortality"	"V01-Y89"	1705	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Certain infectious and parasitic diseases"	"A00-B99"	481	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Neoplasms"	"C00-D48"	4162	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	83	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	972	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Mental and behavioural disorders"	"F01-F99"	1086	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the nervous system"	"G00-G98"	1610	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the circulatory system"	"I00-I99"	6227	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the respiratory system"	"J00-J98"	2227	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the digestive system"	"K00-K92"	752	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	35	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	100	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Diseases of the genitourinary system"	"N00-N98"	629	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Certain conditions originating in the perinatal period"	"P00-P96"	68	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	61	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	193	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	"External causes of morbidity and mortality"	"V01-Y89"	1564	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	"Certain infectious and parasitic diseases"	"A00-B99"	510	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	"Neoplasms"	"C00-D48"	4385	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	90	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1017	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	"Mental and behavioural disorders"	"F01-F99"	1176	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	"Diseases of the nervous system"	"G00-G98"	1711	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	"Diseases of the circulatory system"	"I00-I99"	6419	Not Applicable	Not Applicable
