"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"	"2022"	"2022"	61052	5282634	1155.7	0.3%
	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"	"2023 (provisional)"	"2023"	58012	5282634	1098.2	0.3%
	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"	"2024 (provisional and partial)"	"2024"	49172	5282634	930.8	0.2%
"Total"	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"			396483	36489488	1086.6	1.8%
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"2018"	"2018"	69359	8517685	814.3	0.3%
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"2019"	"2019"	70325	8535519	823.9	0.3%
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"2020"	"2020"	80596	8590563	938.2	0.4%
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"2021"	"2021"	85940	8642274	994.4	0.4%
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"2022"	"2022"	82935	8683619	955.1	0.4%
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"2023 (provisional)"	"2023"	78158	8683619	900.1	0.4%
	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"	"2024 (provisional and partial)"	"2024"	64571	8683619	743.6	0.3%
"Total"	"Census Region 3: South"	"CENS-R3"	"Virginia"	"51"			531884	60336898	881.5	2.5%
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"2018"	"2018"	23478	1805832	1300.1	0.1%
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"2019"	"2019"	23404	1792147	1305.9	0.1%
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"2020"	"2020"	26106	1784787	1462.7	0.1%
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"2021"	"2021"	29503	1782959	1654.7	0.1%
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"2022"	"2022"	27507	1775156	1549.6	0.1%
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"2023 (provisional)"	"2023"	24693	1775156	1391.0	0.1%
	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"	"2024 (provisional and partial)"	"2024"	20534	1775156	1156.7	0.1%
"Total"	"Census Region 3: South"	"CENS-R3"	"West Virginia"	"54"			175225	12491193	1402.8	0.8%
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"2018"	"2018"	54352	4887871	1112.0	0.3%
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"2019"	"2019"	54108	4903185	1103.5	0.3%
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"2020"	"2020"	64779	4921532	1316.2	0.3%
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"2021"	"2021"	68889	5039877	1366.9	0.3%
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"2022"	"2022"	62294	5074296	1227.6	0.3%
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"2023 (provisional)"	"2023"	59237	5074296	1167.4	0.3%
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	48686	5074296	959.5	0.2%
"Total"	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"			412345	34975353	1179.0	1.9%
	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"	"2018"	"2018"	48707	4468402	1090.0	0.2%
	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"	"2019"	"2019"	48990	4467673	1096.5	0.2%
	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"	"2020"	"2020"	55880	4477251	1248.1	0.3%
	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"	"2021"	"2021"	60303	4509394	1337.3	0.3%
	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"	"2022"	"2022"	57053	4512310	1264.4	0.3%
	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"	"2023 (provisional)"	"2023"	53044	4512310	1175.5	0.2%
	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"	"2024 (provisional and partial)"	"2024"	43090	4512310	954.9	0.2%
"Total"	"Census Region 3: South"	"CENS-R3"	"Kentucky"	"21"			367067	31459650	1166.8	1.7%
	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"	"2018"	"2018"	32301	2986530	1081.6	0.2%
	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"	"2019"	"2019"	32964	2976149	1107.6	0.2%
	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"	"2020"	"2020"	40190	2966786	1354.7	0.2%
	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"	"2021"	"2021"	41085	2949965	1392.7	0.2%
	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"	"2022"	"2022"	37803	2940057	1285.8	0.2%
	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"	"2023 (provisional)"	"2023"	35051	2940057	1192.2	0.2%
	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"	"2024 (provisional and partial)"	"2024"	29553	2940057	1005.2	0.1%
"Total"	"Census Region 3: South"	"CENS-R3"	"Mississippi"	"28"			248947	20699601	1202.7	1.2%
	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"	"2018"	"2018"	71078	6770010	1049.9	0.3%
	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"	"2019"	"2019"	71935	6829174	1053.3	0.3%
	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"	"2020"	"2020"	84205	6886834	1222.7	0.4%
	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"	"2021"	"2021"	91130	6975218	1306.5	0.4%
	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"	"2022"	"2022"	84989	7051339	1205.3	0.4%
	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"	"2023 (provisional)"	"2023"	79601	7051339	1128.9	0.4%
	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"	"2024 (provisional and partial)"	"2024"	66346	7051339	940.9	0.3%
"Total"	"Census Region 3: South"	"CENS-R3"	"Tennessee"	"47"			549284	48615253	1129.9	2.6%
	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"	"2018"	"2018"	32336	3013825	1072.9	0.2%
	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"	"2019"	"2019"	32888	3017804	1089.8	0.2%
	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"	"2020"	"2020"	38108	3030522	1257.5	0.2%
	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"	"2021"	"2021"	40070	3025891	1324.2	0.2%
	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"	"2022"	"2022"	37855	3045637	1242.9	0.2%
	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"	"2023 (provisional)"	"2023"	35758	3045637	1174.1	0.2%
	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"	"2024 (provisional and partial)"	"2024"	30178	3045637	990.9	0.1%
"Total"	"Census Region 3: South"	"CENS-R3"	"Arkansas"	"05"			247193	21224953	1164.6	1.2%
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"2018"	"2018"	46048	4659978	988.2	0.2%
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"2019"	"2019"	45938	4648794	988.2	0.2%
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"2020"	"2020"	56752	4645318	1221.7	0.3%
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"2021"	"2021"	57533	4624047	1244.2	0.3%
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"2022"	"2022"	52339	4590241	1140.2	0.2%
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"2023 (provisional)"	"2023"	49437	4590241	1077.0	0.2%
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"2024 (provisional and partial)"	"2024"	39896	4590241	869.1	0.2%
"Total"	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"			347943	32348860	1075.6	1.6%
	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"	"2018"	"2018"	40933	3943079	1038.1	0.2%
	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"	"2019"	"2019"	40930	3956971	1034.4	0.2%
	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"	"2020"	"2020"	47809	3980783	1201.0	0.2%
	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"	"2021"	"2021"	50945	3986639	1277.9	0.2%
	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"	"2022"	"2022"	47976	4019800	1193.5	0.2%
	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"	"2023 (provisional)"	"2023"	44172	4019800	1098.9	0.2%
	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"	"2024 (provisional and partial)"	"2024"	37309	4019800	928.1	0.2%
"Total"	"Census Region 3: South"	"CENS-R3"	"Oklahoma"	"40"			310074	27926872	1110.3	1.4%
	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"	"2018"	"2018"	202211	28701845	704.5	0.9%
	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"	"2019"	"2019"	203362	28995881	701.3	0.9%
	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"	"2020"	"2020"	250339	29360759	852.6	1.2%
	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"	"2021"	"2021"	267651	29527941	906.4	1.2%
	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"	"2022"	"2022"	241441	30029572	804.0	1.1%
	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"	"2023 (provisional)"	"2023"	229122	30029572	763.0	1.1%
	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"	"2024 (provisional and partial)"	"2024"	190814	30029572	635.4	0.9%
"Total"	"Census Region 3: South"	"CENS-R3"	"Texas"	"48"			1584940	206675142	766.9	7.4%
"Total"	"Census Region 3: South"	"CENS-R3"					8615780	890371055	967.7	40.1%
	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"	"2018"	"2018"	59282	7171646	826.6	0.3%
	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"	"2019"	"2019"	60236	7278717	827.6	0.3%
	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"	"2020"	"2020"	75747	7421401	1020.7	0.4%
	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"	"2021"	"2021"	81442	7276316	1119.3	0.4%
	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"	"2022"	"2022"	74082	7359197	1006.7	0.3%
	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"	"2023 (provisional)"	"2023"	69335	7359197	942.2	0.3%
	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"	"2024 (provisional and partial)"	"2024"	59049	7359197	802.4	0.3%
"Total"	"Census Region 4: West"	"CENS-R4"	"Arizona"	"04"			479173	51225671	935.4	2.2%
	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"	"2018"	"2018"	38526	5695564	676.4	0.2%
	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"	"2019"	"2019"	39390	5758736	684.0	0.2%
	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"	"2020"	"2020"	46918	5807719	807.9	0.2%
	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"	"2021"	"2021"	48281	5812069	830.7	0.2%
	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"	"2022"	"2022"	46787	5839926	801.2	0.2%
	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"	"2023 (provisional)"	"2023"	44971	5839926	770.1	0.2%
	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"	"2024 (provisional and partial)"	"2024"	37146	5839926	636.1	0.2%
"Total"	"Census Region 4: West"	"CENS-R4"	"Colorado"	"08"			302019	40593866	744.0	1.4%
	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"	"2018"	"2018"	14261	1754208	813.0	0.1%
	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"	"2019"	"2019"	14430	1787065	807.5	0.1%
	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"	"2020"	"2020"	16402	1826913	897.8	0.1%
	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"	"2021"	"2021"	18346	1900923	965.1	0.1%
	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"	"2022"	"2022"	17162	1939033	885.1	0.1%
	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"	"2023 (provisional)"	"2023"	16474	1939033	849.6	0.1%
	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"	"2024 (provisional and partial)"	"2024"	13927	1939033	718.2	0.1%
"Total"	"Census Region 4: West"	"CENS-R4"	"Idaho"	"16"			111002	13086208	848.2	0.5%
	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"	"2018"	"2018"	9992	1062305	940.6	0.0%
	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"	"2019"	"2019"	10402	1068778	973.3	0.0%
	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"	"2020"	"2020"	12027	1080577	1113.0	0.1%
	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"	"2021"	"2021"	12707	1104271	1150.7	0.1%
	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"	"2022"	"2022"	11684	1122867	1040.6	0.1%
	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"	"2023 (provisional)"	"2023"	11193	1122867	996.8	0.1%
	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"	"2024 (provisional and partial)"	"2024"	9729	1122867	866.4	0.0%
"Total"	"Census Region 4: West"	"CENS-R4"	"Montana"	"30"			77734	7684532	1011.6	0.4%
	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"	"2018"	"2018"	24715	3034392	814.5	0.1%
	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"	"2019"	"2019"	25586	3080156	830.7	0.1%
	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"	"2020"	"2020"	30618	3138259	975.6	0.1%
	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"	"2021"	"2021"	32923	3143991	1047.2	0.2%
	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"	"2022"	"2022"	30960	3177772	974.3	0.1%
	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"	"2023 (provisional)"	"2023"	29008	3177772	912.8	0.1%
	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"	"2024 (provisional and partial)"	"2024"	24474	3177772	770.2	0.1%
"Total"	"Census Region 4: West"	"CENS-R4"	"Nevada"	"32"			198284	21930114	904.2	0.9%
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"2018"	"2018"	19007	2095428	907.1	0.1%
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"2019"	"2019"	19512	2096829	930.5	0.1%
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"2020"	"2020"	23807	2106319	1130.3	0.1%
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"2021"	"2021"	25300	2115877	1195.7	0.1%
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"2022"	"2022"	23655	2113344	1119.3	0.1%
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"2023 (provisional)"	"2023"	22287	2113344	1054.6	0.1%
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"2024 (provisional and partial)"	"2024"	17977	2113344	850.6	0.1%
"Total"	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"			151545	14754485	1027.1	0.7%
	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"	"2018"	"2018"	18354	3161105	580.6	0.1%
	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"	"2019"	"2019"	18736	3205958	584.4	0.1%
	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"	"2020"	"2020"	21497	3249879	661.5	0.1%
	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"	"2021"	"2021"	22569	3337975	676.1	0.1%
	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"	"2022"	"2022"	21886	3380800	647.4	0.1%
	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"	"2023 (provisional)"	"2023"	21275	3380800	629.3	0.1%
	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"	"2024 (provisional and partial)"	"2024"	18060	3380800	534.2	0.1%
"Total"	"Census Region 4: West"	"CENS-R4"	"Utah"	"49"			142377	23097317	616.4	0.7%
	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"	"2018"	"2018"	5070	577737	877.6	0.0%
	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"	"2019"	"2019"	5121	578759	884.8	0.0%
	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"	"2020"	"2020"	5983	582328	1027.4	0.0%
	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"	"2021"	"2021"	6582	578803	1137.2	0.0%
	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"	"2022"	"2022"	5905	581381	1015.7	0.0%
	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"	"2023 (provisional)"	"2023"	5586	581381	960.8	0.0%
	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"	"2024 (provisional and partial)"	"2024"	4838	581381	832.2	0.0%
"Total"	"Census Region 4: West"	"CENS-R4"	"Wyoming"	"56"			39085	4061770	962.3	0.2%
	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"	"2018"	"2018"	4453	737438	603.8	0.0%
	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"	"2019"	"2019"	4613	731545	630.6	0.0%
	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"	"2020"	"2020"	5170	731158	707.1	0.0%
	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"	"2021"	"2021"	6208	732673	847.3	0.0%
	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"	"2022"	"2022"	5719	733583	779.6	0.0%
	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"	"2023 (provisional)"	"2023"	5529	733583	753.7	0.0%
	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"	"2024 (provisional and partial)"	"2024"	4430	733583	603.9	0.0%
"Total"	"Census Region 4: West"	"CENS-R4"	"Alaska"	"02"			36122	5133563	703.6	0.2%
	"Census Region 4: West"	"CENS-R4"	"California"	"06"	"2018"	"2018"	268818	39557045	679.6	1.3%
	"Census Region 4: West"	"CENS-R4"	"California"	"06"	"2019"	"2019"	269831	39512223	682.9	1.3%
	"Census Region 4: West"	"CENS-R4"	"California"	"06"	"2020"	"2020"	319808	39368078	812.4	1.5%
	"Census Region 4: West"	"CENS-R4"	"California"	"06"	"2021"	"2021"	333249	39237836	849.3	1.6%
	"Census Region 4: West"	"CENS-R4"	"California"	"06"	"2022"	"2022"	313161	39029342	802.4	1.5%
	"Census Region 4: West"	"CENS-R4"	"California"	"06"	"2023 (provisional)"	"2023"	294735	39029342	755.2	1.4%
	"Census Region 4: West"	"CENS-R4"	"California"	"06"	"2024 (provisional and partial)"	"2024"	239953	39029342	614.8	1.1%
"Total"	"Census Region 4: West"	"CENS-R4"	"California"	"06"			2039555	274763208	742.3	9.5%
	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"	"2018"	"2018"	11415	1420491	803.6	0.1%
	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"	"2019"	"2019"	11559	1415872	816.4	0.1%
	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"	"2020"	"2020"	12033	1407006	855.2	0.1%
	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"	"2021"	"2021"	12816	1441553	889.0	0.1%
	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"	"2022"	"2022"	13228	1440196	918.5	0.1%
	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"	"2023 (provisional)"	"2023"	12646	1440196	878.1	0.1%
	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"	"2024 (provisional and partial)"	"2024"	10778	1440196	748.4	0.1%
"Total"	"Census Region 4: West"	"CENS-R4"	"Hawaii"	"15"			84475	10005510	844.3	0.4%
	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"	"2018"	"2018"	36187	4190713	863.5	0.2%
	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"	"2019"	"2019"	37370	4217737	886.0	0.2%
	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"	"2020"	"2020"	40220	4241507	948.2	0.2%
	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"	"2021"	"2021"	44989	4246155	1059.5	0.2%
	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"	"2022"	"2022"	44598	4240137	1051.8	0.2%
	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"	"2023 (provisional)"	"2023"	42532	4240137	1003.1	0.2%
	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"	"2024 (provisional and partial)"	"2024"	35087	4240137	827.5	0.2%
"Total"	"Census Region 4: West"	"CENS-R4"	"Oregon"	"41"			280983	29616523	948.7	1.3%
	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"	"2018"	"2018"	56877	7535591	754.8	0.3%
	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"	"2019"	"2019"	58263	7614893	765.1	0.3%
	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"	"2020"	"2020"	63146	7693612	820.8	0.3%
	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"	"2021"	"2021"	68689	7738692	887.6	0.3%
	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"	"2022"	"2022"	69194	7785786	888.7	0.3%
	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"	"2023 (provisional)"	"2023"	66016	7785786	847.9	0.3%
	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"	"2024 (provisional and partial)"	"2024"	54405	7785786	698.8	0.3%
"Total"	"Census Region 4: West"	"CENS-R4"	"Washington"	"53"			436590	53940146	809.4	2.0%
"Total"	"Census Region 4: West"	"CENS-R4"					4378944	549892913	796.3	20.4%
"Total"							21474840	2316647496	927.0	100.0%
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Group By: Residence Census Region; Residence State; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Archive postcensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Nov 21, 2024 3:48:21 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2022,"
"and from provisional data for years 2023-2024, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Nov 21, 2024 3:48:21"
"PM"
"---"
Caveats:
"1. The population figures for years 2022 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). The population figures for years 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. Population estimates"
"for 2021 are estimated as of July 1, 2021 The population figures for year 2020 are single-race estimates of the July 1 resident"
"population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021."
"The population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019"
"postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population figures for year"
"2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based on April 2010"
"Census, released by the Census Bureau on June 20, 2019. #Population Data# <br/><b>Note:</b> Archive rates and populations"
"figures for 2018 and later years are not yet available. The postcensal series for each year will become the archive populations,"
"after the postcensal series are superseded by the intercensal July 1 population estimates from the Census Bureau."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"3. Connecticut population estimates for 2022 are reported for 9 planning regions as county equivalent areas, instead of the"
"former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. Populations"
"estimates for the former counties are not available for 2022. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"4. Deaths occurring through November 09, 2024 as of November 17, 2024."
