"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Residence State"	"Residence State Code"	"MCD - ICD Chapter"	"MCD - ICD Chapter Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	"2024 (provisional and partial)"	"2024"	2331	9261699	25.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	"2018"	"2018"	13810	19542209	70.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	"2019"	"2019"	13732	19453561	70.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	"2020"	"2020"	16813	19336776	86.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	"2021"	"2021"	17427	19835913	87.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	"2022"	"2022"	16970	19677151	86.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	"2023 (provisional)"	"2023"	15969	19677151	81.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	"2024 (provisional and partial)"	"2024"	13557	19677151	68.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Neoplasms"	"C00-D48"	"2018"	"2018"	39605	19542209	202.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Neoplasms"	"C00-D48"	"2019"	"2019"	38897	19453561	199.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Neoplasms"	"C00-D48"	"2020"	"2020"	39976	19336776	206.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Neoplasms"	"C00-D48"	"2021"	"2021"	39591	19835913	199.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Neoplasms"	"C00-D48"	"2022"	"2022"	39714	19677151	201.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Neoplasms"	"C00-D48"	"2023 (provisional)"	"2023"	38801	19677151	197.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Neoplasms"	"C00-D48"	"2024 (provisional and partial)"	"2024"	33255	19677151	169.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2018"	"2018"	3978	19542209	20.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2019"	"2019"	3885	19453561	20.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2020"	"2020"	5014	19336776	25.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2021"	"2021"	5047	19835913	25.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2022"	"2022"	5506	19677151	28.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2023 (provisional)"	"2023"	5159	19677151	26.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2024 (provisional and partial)"	"2024"	4386	19677151	22.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2018"	"2018"	23959	19542209	122.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2019"	"2019"	24865	19453561	127.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2020"	"2020"	36442	19336776	188.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2021"	"2021"	33209	19835913	167.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2022"	"2022"	32970	19677151	167.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2023 (provisional)"	"2023"	30462	19677151	154.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2024 (provisional and partial)"	"2024"	25683	19677151	130.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Mental and behavioural disorders"	"F01-F99"	"2018"	"2018"	36785	19542209	188.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Mental and behavioural disorders"	"F01-F99"	"2019"	"2019"	36742	19453561	188.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Mental and behavioural disorders"	"F01-F99"	"2020"	"2020"	42643	19336776	220.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Mental and behavioural disorders"	"F01-F99"	"2021"	"2021"	39306	19835913	198.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Mental and behavioural disorders"	"F01-F99"	"2022"	"2022"	40431	19677151	205.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Mental and behavioural disorders"	"F01-F99"	"2023 (provisional)"	"2023"	37817	19677151	192.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Mental and behavioural disorders"	"F01-F99"	"2024 (provisional and partial)"	"2024"	29082	19677151	147.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the nervous system"	"G00-G98"	"2018"	"2018"	13547	19542209	69.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the nervous system"	"G00-G98"	"2019"	"2019"	13648	19453561	70.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the nervous system"	"G00-G98"	"2020"	"2020"	17126	19336776	88.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the nervous system"	"G00-G98"	"2021"	"2021"	16144	19835913	81.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the nervous system"	"G00-G98"	"2022"	"2022"	16034	19677151	81.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the nervous system"	"G00-G98"	"2023 (provisional)"	"2023"	15219	19677151	77.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the nervous system"	"G00-G98"	"2024 (provisional and partial)"	"2024"	13240	19677151	67.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the eye and adnexa"	"H00-H59"	"2018"	"2018"	192	19542209	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the eye and adnexa"	"H00-H59"	"2019"	"2019"	171	19453561	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the eye and adnexa"	"H00-H59"	"2020"	"2020"	333	19336776	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the eye and adnexa"	"H00-H59"	"2021"	"2021"	303	19835913	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the eye and adnexa"	"H00-H59"	"2022"	"2022"	302	19677151	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the eye and adnexa"	"H00-H59"	"2023 (provisional)"	"2023"	344	19677151	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the eye and adnexa"	"H00-H59"	"2024 (provisional and partial)"	"2024"	273	19677151	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the ear and mastoid process"	"H60-H95"	"2018"	"2018"	23	19542209	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the ear and mastoid process"	"H60-H95"	"2019"	"2019"	36	19453561	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the ear and mastoid process"	"H60-H95"	"2020"	"2020"	46	19336776	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the ear and mastoid process"	"H60-H95"	"2021"	"2021"	62	19835913	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the ear and mastoid process"	"H60-H95"	"2022"	"2022"	61	19677151	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the ear and mastoid process"	"H60-H95"	"2023 (provisional)"	"2023"	79	19677151	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the ear and mastoid process"	"H60-H95"	"2024 (provisional and partial)"	"2024"	57	19677151	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the circulatory system"	"I00-I99"	"2018"	"2018"	98125	19542209	502.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the circulatory system"	"I00-I99"	"2019"	"2019"	96965	19453561	498.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the circulatory system"	"I00-I99"	"2020"	"2020"	121262	19336776	627.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the circulatory system"	"I00-I99"	"2021"	"2021"	107930	19835913	544.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the circulatory system"	"I00-I99"	"2022"	"2022"	106483	19677151	541.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the circulatory system"	"I00-I99"	"2023 (provisional)"	"2023"	99500	19677151	505.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the circulatory system"	"I00-I99"	"2024 (provisional and partial)"	"2024"	82585	19677151	419.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the respiratory system"	"J00-J98"	"2018"	"2018"	39543	19542209	202.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the respiratory system"	"J00-J98"	"2019"	"2019"	39211	19453561	201.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the respiratory system"	"J00-J98"	"2020"	"2020"	66940	19336776	346.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the respiratory system"	"J00-J98"	"2021"	"2021"	53176	19835913	268.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the respiratory system"	"J00-J98"	"2022"	"2022"	47679	19677151	242.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the respiratory system"	"J00-J98"	"2023 (provisional)"	"2023"	42015	19677151	213.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the respiratory system"	"J00-J98"	"2024 (provisional and partial)"	"2024"	35148	19677151	178.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the digestive system"	"K00-K92"	"2018"	"2018"	10686	19542209	54.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the digestive system"	"K00-K92"	"2019"	"2019"	10871	19453561	55.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the digestive system"	"K00-K92"	"2020"	"2020"	12120	19336776	62.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the digestive system"	"K00-K92"	"2021"	"2021"	12885	19835913	65.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the digestive system"	"K00-K92"	"2022"	"2022"	13020	19677151	66.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the digestive system"	"K00-K92"	"2023 (provisional)"	"2023"	12611	19677151	64.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the digestive system"	"K00-K92"	"2024 (provisional and partial)"	"2024"	10627	19677151	54.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2018"	"2018"	1365	19542209	7.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2019"	"2019"	1352	19453561	6.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2020"	"2020"	1707	19336776	8.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2021"	"2021"	1819	19835913	9.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2022"	"2022"	2105	19677151	10.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2023 (provisional)"	"2023"	2034	19677151	10.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2024 (provisional and partial)"	"2024"	1735	19677151	8.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2018"	"2018"	2619	19542209	13.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2019"	"2019"	2798	19453561	14.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2020"	"2020"	3710	19336776	19.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2021"	"2021"	3775	19835913	19.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2022"	"2022"	3686	19677151	18.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2023 (provisional)"	"2023"	3656	19677151	18.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2024 (provisional and partial)"	"2024"	3064	19677151	15.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the genitourinary system"	"N00-N99"	"2018"	"2018"	12246	19542209	62.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the genitourinary system"	"N00-N99"	"2019"	"2019"	12384	19453561	63.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the genitourinary system"	"N00-N99"	"2020"	"2020"	15660	19336776	81.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the genitourinary system"	"N00-N99"	"2021"	"2021"	15164	19835913	76.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the genitourinary system"	"N00-N99"	"2022"	"2022"	14604	19677151	74.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the genitourinary system"	"N00-N99"	"2023 (provisional)"	"2023"	13643	19677151	69.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Diseases of the genitourinary system"	"N00-N99"	"2024 (provisional and partial)"	"2024"	11610	19677151	59.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2018"	"2018"	96	19542209	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2019"	"2019"	117	19453561	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2020"	"2020"	71	19336776	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2021"	"2021"	89	19835913	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2022"	"2022"	77	19677151	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2023 (provisional)"	"2023"	54	19677151	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2024 (provisional and partial)"	"2024"	59	19677151	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2018"	"2018"	688	19542209	3.5
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2019"	"2019"	640	19453561	3.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2020"	"2020"	579	19336776	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2021"	"2021"	589	19835913	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2022"	"2022"	596	19677151	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2023 (provisional)"	"2023"	570	19677151	2.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2024 (provisional and partial)"	"2024"	442	19677151	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2018"	"2018"	765	19542209	3.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2019"	"2019"	732	19453561	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2020"	"2020"	743	19336776	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2021"	"2021"	759	19835913	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2022"	"2022"	836	19677151	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2023 (provisional)"	"2023"	812	19677151	4.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2024 (provisional and partial)"	"2024"	670	19677151	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2018"	"2018"	26744	19542209	136.9
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2019"	"2019"	27971	19453561	143.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2020"	"2020"	34738	19336776	179.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2021"	"2021"	34841	19835913	175.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2022"	"2022"	34374	19677151	174.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2023 (provisional)"	"2023"	33182	19677151	168.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2024 (provisional and partial)"	"2024"	30373	19677151	154.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2018"	"2018"	12423	19542209	63.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2019"	"2019"	12271	19453561	63.1
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2020"	"2020"	14202	19336776	73.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2021"	"2021"	15671	19835913	79.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2022"	"2022"	16719	19677151	85.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2023 (provisional)"	"2023"	16132	19677151	82.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2024 (provisional and partial)"	"2024"	9639	19677151	49.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Codes for special purposes"	"U00-U99"	"2020"	"2020"	38741	19336776	200.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Codes for special purposes"	"U00-U99"	"2021"	"2021"	24258	19835913	122.3
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Codes for special purposes"	"U00-U99"	"2022"	"2022"	15071	19677151	76.6
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Codes for special purposes"	"U00-U99"	"2023 (provisional)"	"2023"	4759	19677151	24.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Codes for special purposes"	"U00-U99"	"2024 (provisional and partial)"	"2024"	2629	19677151	13.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	"2018"	"2018"	13368	19542209	68.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	"2019"	"2019"	13689	19453561	70.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	"2020"	"2020"	15706	19336776	81.2
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	"2021"	"2021"	17421	19835913	87.8
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	"2022"	"2022"	17849	19677151	90.7
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	"2023 (provisional)"	"2023"	16727	19677151	85.0
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	"2024 (provisional and partial)"	"2024"	5777	19677151	29.4
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	"2024 (provisional and partial)"	"2024"	5608	19677151	28.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	"2018"	"2018"	10934	12807060	85.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	"2019"	"2019"	10793	12801989	84.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	"2020"	"2020"	12553	12783254	98.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	"2021"	"2021"	15063	12964056	116.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	"2022"	"2022"	13608	12972008	104.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	"2023 (provisional)"	"2023"	13093	12972008	100.9
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	"2024 (provisional and partial)"	"2024"	11031	12972008	85.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Neoplasms"	"C00-D48"	"2018"	"2018"	31981	12807060	249.7
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Neoplasms"	"C00-D48"	"2019"	"2019"	31728	12801989	247.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Neoplasms"	"C00-D48"	"2020"	"2020"	32975	12783254	258.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Neoplasms"	"C00-D48"	"2021"	"2021"	32815	12964056	253.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Neoplasms"	"C00-D48"	"2022"	"2022"	32819	12972008	253.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Neoplasms"	"C00-D48"	"2023 (provisional)"	"2023"	32651	12972008	251.7
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Neoplasms"	"C00-D48"	"2024 (provisional and partial)"	"2024"	27408	12972008	211.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2018"	"2018"	4042	12807060	31.6
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2019"	"2019"	4037	12801989	31.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2020"	"2020"	4836	12783254	37.8
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2021"	"2021"	5281	12964056	40.7
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2022"	"2022"	5510	12972008	42.5
