"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - Drug/Alcohol Induced"	"UCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Illinois"	"17"	"Jun., 2023 (provisional)"	"2023/06"	"Drug-induced causes"	"D"	296	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jun., 2023 (provisional)"	"2023/06"	"Alcohol-induced causes"	"A"	95	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jun., 2023 (provisional)"	"2023/06"	"All other non-drug and non-alcohol causes"	"O"	8441	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2023 (provisional)"	"2023/07"	"Drug-induced causes"	"D"	261	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2023 (provisional)"	"2023/07"	"Alcohol-induced causes"	"A"	99	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2023 (provisional)"	"2023/07"	"All other non-drug and non-alcohol causes"	"O"	8613	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2023 (provisional)"	"2023/08"	"Drug-induced causes"	"D"	314	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2023 (provisional)"	"2023/08"	"Alcohol-induced causes"	"A"	107	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2023 (provisional)"	"2023/08"	"All other non-drug and non-alcohol causes"	"O"	8594	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2023 (provisional)"	"2023/09"	"Drug-induced causes"	"D"	274	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2023 (provisional)"	"2023/09"	"Alcohol-induced causes"	"A"	116	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2023 (provisional)"	"2023/09"	"All other non-drug and non-alcohol causes"	"O"	8633	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2023 (provisional)"	"2023/10"	"Drug-induced causes"	"D"	290	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2023 (provisional)"	"2023/10"	"Alcohol-induced causes"	"A"	136	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2023 (provisional)"	"2023/10"	"All other non-drug and non-alcohol causes"	"O"	8946	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nov., 2023 (provisional)"	"2023/11"	"Drug-induced causes"	"D"	285	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nov., 2023 (provisional)"	"2023/11"	"Alcohol-induced causes"	"A"	154	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nov., 2023 (provisional)"	"2023/11"	"All other non-drug and non-alcohol causes"	"O"	9368	Not Applicable	Not Applicable
	"Illinois"	"17"	"Dec., 2023 (provisional)"	"2023/12"	"Drug-induced causes"	"D"	280	Not Applicable	Not Applicable
	"Illinois"	"17"	"Dec., 2023 (provisional)"	"2023/12"	"Alcohol-induced causes"	"A"	159	Not Applicable	Not Applicable
	"Illinois"	"17"	"Dec., 2023 (provisional)"	"2023/12"	"All other non-drug and non-alcohol causes"	"O"	10330	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2024 (provisional)"	"2024/01"	"Drug-induced causes"	"D"	240	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2024 (provisional)"	"2024/01"	"Alcohol-induced causes"	"A"	128	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2024 (provisional)"	"2024/01"	"All other non-drug and non-alcohol causes"	"O"	10232	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2024 (provisional)"	"2024/02"	"Drug-induced causes"	"D"	220	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2024 (provisional)"	"2024/02"	"Alcohol-induced causes"	"A"	101	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2024 (provisional)"	"2024/02"	"All other non-drug and non-alcohol causes"	"O"	9001	Not Applicable	Not Applicable
	"Illinois"	"17"	"Mar., 2024 (provisional)"	"2024/03"	"Drug-induced causes"	"D"	246	Not Applicable	Not Applicable
	"Illinois"	"17"	"Mar., 2024 (provisional)"	"2024/03"	"Alcohol-induced causes"	"A"	104	Not Applicable	Not Applicable
	"Illinois"	"17"	"Mar., 2024 (provisional)"	"2024/03"	"All other non-drug and non-alcohol causes"	"O"	9348	Not Applicable	Not Applicable
	"Illinois"	"17"	"Apr., 2024 (provisional)"	"2024/04"	"Drug-induced causes"	"D"	230	Not Applicable	Not Applicable
	"Illinois"	"17"	"Apr., 2024 (provisional)"	"2024/04"	"Alcohol-induced causes"	"A"	138	Not Applicable	Not Applicable
	"Illinois"	"17"	"Apr., 2024 (provisional)"	"2024/04"	"All other non-drug and non-alcohol causes"	"O"	8652	Not Applicable	Not Applicable
	"Illinois"	"17"	"May, 2024 (provisional)"	"2024/05"	"Drug-induced causes"	"D"	110	Not Applicable	Not Applicable
	"Illinois"	"17"	"May, 2024 (provisional)"	"2024/05"	"Alcohol-induced causes"	"A"	140	Not Applicable	Not Applicable
	"Illinois"	"17"	"May, 2024 (provisional)"	"2024/05"	"All other non-drug and non-alcohol causes"	"O"	8314	Not Applicable	Not Applicable
	"Illinois"	"17"	"May, 2024 (provisional)"	"2024/05"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	516	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jun., 2024 (provisional)"	"2024/06"	"Alcohol-induced causes"	"A"	120	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jun., 2024 (provisional)"	"2024/06"	"All other non-drug and non-alcohol causes"	"O"	7727	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jun., 2024 (provisional)"	"2024/06"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	726	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2024 (provisional)"	"2024/07"	"Alcohol-induced causes"	"A"	109	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2024 (provisional)"	"2024/07"	"All other non-drug and non-alcohol causes"	"O"	7994	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jul., 2024 (provisional)"	"2024/07"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	799	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2024 (provisional)"	"2024/08"	"Alcohol-induced causes"	"A"	129	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2024 (provisional)"	"2024/08"	"All other non-drug and non-alcohol causes"	"O"	8185	Not Applicable	Not Applicable
	"Illinois"	"17"	"Aug., 2024 (provisional)"	"2024/08"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	703	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2024 (provisional)"	"2024/09"	"Alcohol-induced causes"	"A"	102	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2024 (provisional)"	"2024/09"	"All other non-drug and non-alcohol causes"	"O"	8128	Not Applicable	Not Applicable
	"Illinois"	"17"	"Sep., 2024 (provisional)"	"2024/09"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	469	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2024 (provisional)"	"2024/10"	"Alcohol-induced causes"	"A"	78	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2024 (provisional)"	"2024/10"	"All other non-drug and non-alcohol causes"	"O"	8280	Not Applicable	Not Applicable
	"Illinois"	"17"	"Oct., 2024 (provisional)"	"2024/10"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	124	Not Applicable	Not Applicable
	"Illinois"	"17"	"Nov., 2024 (provisional and partial)"	"2024/11"	"All other non-drug and non-alcohol causes"	"O"	379	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2020"	"2020/01"	"Drug-induced causes"	"D"	170	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2020"	"2020/01"	"Alcohol-induced causes"	"A"	92	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2020"	"2020/01"	"All other non-drug and non-alcohol causes"	"O"	5942	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2020"	"2020/02"	"Drug-induced causes"	"D"	164	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2020"	"2020/02"	"Alcohol-induced causes"	"A"	90	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2020"	"2020/02"	"All other non-drug and non-alcohol causes"	"O"	5492	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2020"	"2020/03"	"Drug-induced causes"	"D"	175	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2020"	"2020/03"	"Alcohol-induced causes"	"A"	86	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2020"	"2020/03"	"All other non-drug and non-alcohol causes"	"O"	5952	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2020"	"2020/04"	"Drug-induced causes"	"D"	219	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2020"	"2020/04"	"Alcohol-induced causes"	"A"	73	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2020"	"2020/04"	"All other non-drug and non-alcohol causes"	"O"	6392	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2020"	"2020/05"	"Drug-induced causes"	"D"	256	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2020"	"2020/05"	"Alcohol-induced causes"	"A"	78	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2020"	"2020/05"	"All other non-drug and non-alcohol causes"	"O"	6242	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2020"	"2020/06"	"Drug-induced causes"	"D"	207	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2020"	"2020/06"	"Alcohol-induced causes"	"A"	80	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2020"	"2020/06"	"All other non-drug and non-alcohol causes"	"O"	5628	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2020"	"2020/07"	"Drug-induced causes"	"D"	222	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2020"	"2020/07"	"Alcohol-induced causes"	"A"	97	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2020"	"2020/07"	"All other non-drug and non-alcohol causes"	"O"	5604	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2020"	"2020/08"	"Drug-induced causes"	"D"	185	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2020"	"2020/08"	"Alcohol-induced causes"	"A"	73	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2020"	"2020/08"	"All other non-drug and non-alcohol causes"	"O"	5628	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2020"	"2020/09"	"Drug-induced causes"	"D"	185	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2020"	"2020/09"	"Alcohol-induced causes"	"A"	84	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2020"	"2020/09"	"All other non-drug and non-alcohol causes"	"O"	5541	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2020"	"2020/10"	"Drug-induced causes"	"D"	201	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2020"	"2020/10"	"Alcohol-induced causes"	"A"	82	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2020"	"2020/10"	"All other non-drug and non-alcohol causes"	"O"	6321	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2020"	"2020/11"	"Drug-induced causes"	"D"	174	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2020"	"2020/11"	"Alcohol-induced causes"	"A"	90	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2020"	"2020/11"	"All other non-drug and non-alcohol causes"	"O"	7425	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2020"	"2020/12"	"Drug-induced causes"	"D"	211	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2020"	"2020/12"	"Alcohol-induced causes"	"A"	102	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2020"	"2020/12"	"All other non-drug and non-alcohol causes"	"O"	8631	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2021"	"2021/01"	"Drug-induced causes"	"D"	235	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2021"	"2021/01"	"Alcohol-induced causes"	"A"	86	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2021"	"2021/01"	"All other non-drug and non-alcohol causes"	"O"	7706	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2021"	"2021/02"	"Drug-induced causes"	"D"	187	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2021"	"2021/02"	"Alcohol-induced causes"	"A"	68	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2021"	"2021/02"	"All other non-drug and non-alcohol causes"	"O"	5661	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2021"	"2021/03"	"Drug-induced causes"	"D"	252	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2021"	"2021/03"	"Alcohol-induced causes"	"A"	100	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2021"	"2021/03"	"All other non-drug and non-alcohol causes"	"O"	5511	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2021"	"2021/04"	"Drug-induced causes"	"D"	261	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2021"	"2021/04"	"Alcohol-induced causes"	"A"	72	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2021"	"2021/04"	"All other non-drug and non-alcohol causes"	"O"	5339	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2021"	"2021/05"	"Drug-induced causes"	"D"	244	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2021"	"2021/05"	"Alcohol-induced causes"	"A"	86	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2021"	"2021/05"	"All other non-drug and non-alcohol causes"	"O"	5497	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2021"	"2021/06"	"Drug-induced causes"	"D"	220	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2021"	"2021/06"	"Alcohol-induced causes"	"A"	90	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2021"	"2021/06"	"All other non-drug and non-alcohol causes"	"O"	5364	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2021"	"2021/07"	"Drug-induced causes"	"D"	248	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2021"	"2021/07"	"Alcohol-induced causes"	"A"	90	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2021"	"2021/07"	"All other non-drug and non-alcohol causes"	"O"	5392	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2021"	"2021/08"	"Drug-induced causes"	"D"	244	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2021"	"2021/08"	"Alcohol-induced causes"	"A"	84	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2021"	"2021/08"	"All other non-drug and non-alcohol causes"	"O"	6090	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2021"	"2021/09"	"Drug-induced causes"	"D"	274	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2021"	"2021/09"	"Alcohol-induced causes"	"A"	108	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2021"	"2021/09"	"All other non-drug and non-alcohol causes"	"O"	6741	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2021"	"2021/10"	"Drug-induced causes"	"D"	225	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2021"	"2021/10"	"Alcohol-induced causes"	"A"	116	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2021"	"2021/10"	"All other non-drug and non-alcohol causes"	"O"	6689	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2021"	"2021/11"	"Drug-induced causes"	"D"	261	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2021"	"2021/11"	"Alcohol-induced causes"	"A"	114	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2021"	"2021/11"	"All other non-drug and non-alcohol causes"	"O"	6616	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2021"	"2021/12"	"Drug-induced causes"	"D"	225	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2021"	"2021/12"	"Alcohol-induced causes"	"A"	102	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2021"	"2021/12"	"All other non-drug and non-alcohol causes"	"O"	7719	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2022"	"2022/01"	"Drug-induced causes"	"D"	233	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2022"	"2022/01"	"Alcohol-induced causes"	"A"	100	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2022"	"2022/01"	"All other non-drug and non-alcohol causes"	"O"	8251	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2022"	"2022/02"	"Drug-induced causes"	"D"	267	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2022"	"2022/02"	"Alcohol-induced causes"	"A"	102	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2022"	"2022/02"	"All other non-drug and non-alcohol causes"	"O"	6322	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2022"	"2022/03"	"Drug-induced causes"	"D"	247	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2022"	"2022/03"	"Alcohol-induced causes"	"A"	97	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2022"	"2022/03"	"All other non-drug and non-alcohol causes"	"O"	5767	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2022"	"2022/04"	"Drug-induced causes"	"D"	197	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2022"	"2022/04"	"Alcohol-induced causes"	"A"	104	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2022"	"2022/04"	"All other non-drug and non-alcohol causes"	"O"	5281	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2022"	"2022/05"	"Drug-induced causes"	"D"	200	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2022"	"2022/05"	"Alcohol-induced causes"	"A"	93	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2022"	"2022/05"	"All other non-drug and non-alcohol causes"	"O"	5369	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2022"	"2022/06"	"Drug-induced causes"	"D"	207	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2022"	"2022/06"	"Alcohol-induced causes"	"A"	94	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2022"	"2022/06"	"All other non-drug and non-alcohol causes"	"O"	5320	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2022"	"2022/07"	"Drug-induced causes"	"D"	263	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2022"	"2022/07"	"Alcohol-induced causes"	"A"	92	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2022"	"2022/07"	"All other non-drug and non-alcohol causes"	"O"	5618	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2022"	"2022/08"	"Drug-induced causes"	"D"	236	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2022"	"2022/08"	"Alcohol-induced causes"	"A"	88	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2022"	"2022/08"	"All other non-drug and non-alcohol causes"	"O"	5724	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2022"	"2022/09"	"Drug-induced causes"	"D"	215	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2022"	"2022/09"	"Alcohol-induced causes"	"A"	86	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2022"	"2022/09"	"All other non-drug and non-alcohol causes"	"O"	5445	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2022"	"2022/10"	"Drug-induced causes"	"D"	249	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2022"	"2022/10"	"Alcohol-induced causes"	"A"	99	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2022"	"2022/10"	"All other non-drug and non-alcohol causes"	"O"	5890	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2022"	"2022/11"	"Drug-induced causes"	"D"	204	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2022"	"2022/11"	"Alcohol-induced causes"	"A"	102	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2022"	"2022/11"	"All other non-drug and non-alcohol causes"	"O"	5750	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2022"	"2022/12"	"Drug-induced causes"	"D"	216	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2022"	"2022/12"	"Alcohol-induced causes"	"A"	94	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2022"	"2022/12"	"All other non-drug and non-alcohol causes"	"O"	6746	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2023 (provisional)"	"2023/01"	"Drug-induced causes"	"D"	215	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2023 (provisional)"	"2023/01"	"Alcohol-induced causes"	"A"	91	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2023 (provisional)"	"2023/01"	"All other non-drug and non-alcohol causes"	"O"	6090	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2023 (provisional)"	"2023/02"	"Drug-induced causes"	"D"	189	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2023 (provisional)"	"2023/02"	"Alcohol-induced causes"	"A"	71	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2023 (provisional)"	"2023/02"	"All other non-drug and non-alcohol causes"	"O"	5187	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2023 (provisional)"	"2023/03"	"Drug-induced causes"	"D"	203	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2023 (provisional)"	"2023/03"	"Alcohol-induced causes"	"A"	72	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2023 (provisional)"	"2023/03"	"All other non-drug and non-alcohol causes"	"O"	5786	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2023 (provisional)"	"2023/04"	"Drug-induced causes"	"D"	195	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2023 (provisional)"	"2023/04"	"Alcohol-induced causes"	"A"	78	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2023 (provisional)"	"2023/04"	"All other non-drug and non-alcohol causes"	"O"	5512	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2023 (provisional)"	"2023/05"	"Drug-induced causes"	"D"	193	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2023 (provisional)"	"2023/05"	"Alcohol-induced causes"	"A"	84	Not Applicable	Not Applicable
	"Indiana"	"18"	"May, 2023 (provisional)"	"2023/05"	"All other non-drug and non-alcohol causes"	"O"	5475	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2023 (provisional)"	"2023/06"	"Drug-induced causes"	"D"	176	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2023 (provisional)"	"2023/06"	"Alcohol-induced causes"	"A"	89	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jun., 2023 (provisional)"	"2023/06"	"All other non-drug and non-alcohol causes"	"O"	5226	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2023 (provisional)"	"2023/07"	"Drug-induced causes"	"D"	216	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2023 (provisional)"	"2023/07"	"Alcohol-induced causes"	"A"	90	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jul., 2023 (provisional)"	"2023/07"	"All other non-drug and non-alcohol causes"	"O"	5213	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2023 (provisional)"	"2023/08"	"Drug-induced causes"	"D"	210	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2023 (provisional)"	"2023/08"	"Alcohol-induced causes"	"A"	69	Not Applicable	Not Applicable
	"Indiana"	"18"	"Aug., 2023 (provisional)"	"2023/08"	"All other non-drug and non-alcohol causes"	"O"	5350	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2023 (provisional)"	"2023/09"	"Drug-induced causes"	"D"	173	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2023 (provisional)"	"2023/09"	"Alcohol-induced causes"	"A"	67	Not Applicable	Not Applicable
	"Indiana"	"18"	"Sep., 2023 (provisional)"	"2023/09"	"All other non-drug and non-alcohol causes"	"O"	5380	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2023 (provisional)"	"2023/10"	"Drug-induced causes"	"D"	180	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2023 (provisional)"	"2023/10"	"Alcohol-induced causes"	"A"	90	Not Applicable	Not Applicable
	"Indiana"	"18"	"Oct., 2023 (provisional)"	"2023/10"	"All other non-drug and non-alcohol causes"	"O"	5617	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2023 (provisional)"	"2023/11"	"Drug-induced causes"	"D"	175	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2023 (provisional)"	"2023/11"	"Alcohol-induced causes"	"A"	84	Not Applicable	Not Applicable
	"Indiana"	"18"	"Nov., 2023 (provisional)"	"2023/11"	"All other non-drug and non-alcohol causes"	"O"	5639	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2023 (provisional)"	"2023/12"	"Drug-induced causes"	"D"	160	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2023 (provisional)"	"2023/12"	"Alcohol-induced causes"	"A"	72	Not Applicable	Not Applicable
	"Indiana"	"18"	"Dec., 2023 (provisional)"	"2023/12"	"All other non-drug and non-alcohol causes"	"O"	6225	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2024 (provisional)"	"2024/01"	"Drug-induced causes"	"D"	176	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2024 (provisional)"	"2024/01"	"Alcohol-induced causes"	"A"	96	Not Applicable	Not Applicable
	"Indiana"	"18"	"Jan., 2024 (provisional)"	"2024/01"	"All other non-drug and non-alcohol causes"	"O"	6325	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2024 (provisional)"	"2024/02"	"Drug-induced causes"	"D"	156	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2024 (provisional)"	"2024/02"	"Alcohol-induced causes"	"A"	80	Not Applicable	Not Applicable
	"Indiana"	"18"	"Feb., 2024 (provisional)"	"2024/02"	"All other non-drug and non-alcohol causes"	"O"	5489	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2024 (provisional)"	"2024/03"	"Drug-induced causes"	"D"	159	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2024 (provisional)"	"2024/03"	"Alcohol-induced causes"	"A"	80	Not Applicable	Not Applicable
	"Indiana"	"18"	"Mar., 2024 (provisional)"	"2024/03"	"All other non-drug and non-alcohol causes"	"O"	5812	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2024 (provisional)"	"2024/04"	"Drug-induced causes"	"D"	160	Not Applicable	Not Applicable
	"Indiana"	"18"	"Apr., 2024 (provisional)"	"2024/04"	"Alcohol-induced causes"	"A"	84	Not Applicable	Not Applicable
