"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Census Region 3: South"	"CENS-R3"	"Nov., 2023 (provisional)"	"2023/11"	102710	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2023 (provisional)"	"2023/12"	114674	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2024 (provisional)"	"2024/01"	119906	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2024 (provisional)"	"2024/02"	103680	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2024 (provisional)"	"2024/03"	106112	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2024 (provisional)"	"2024/04"	100280	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2024 (provisional)"	"2024/05"	100726	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2024 (provisional)"	"2024/06"	97995	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2024 (provisional)"	"2024/07"	98840	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2024 (provisional)"	"2024/08"	102085	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2024 (provisional)"	"2024/09"	97088	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2024 (provisional)"	"2024/10"	91262	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2024 (provisional and partial)"	"2024/11"	17003	Not Applicable	Not Applicable
"Total"	"Census Region 3: South"	"CENS-R3"			8615780	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2018"	"2018/01"	57327	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2018"	"2018/02"	46653	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2018"	"2018/03"	51541	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2018"	"2018/04"	46705	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2018"	"2018/05"	45563	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2018"	"2018/06"	44433	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2018"	"2018/07"	45333	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2018"	"2018/08"	44782	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2018"	"2018/09"	43244	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2018"	"2018/10"	45670	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2018"	"2018/11"	46284	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2018"	"2018/12"	49422	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2019"	"2019/01"	52430	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2019"	"2019/02"	47451	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2019"	"2019/03"	52256	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2019"	"2019/04"	47599	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2019"	"2019/05"	48076	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2019"	"2019/06"	45606	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2019"	"2019/07"	45779	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2019"	"2019/08"	45152	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2019"	"2019/09"	44674	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2019"	"2019/10"	47512	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2019"	"2019/11"	47416	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2019"	"2019/12"	51098	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2020"	"2020/01"	53813	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2020"	"2020/02"	49764	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2020"	"2020/03"	53260	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2020"	"2020/04"	54088	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2020"	"2020/05"	52550	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2020"	"2020/06"	51291	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2020"	"2020/07"	58192	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2020"	"2020/08"	57144	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2020"	"2020/09"	51494	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2020"	"2020/10"	53299	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2020"	"2020/11"	58924	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2020"	"2020/12"	79557	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2021"	"2021/01"	85190	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2021"	"2021/02"	58436	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2021"	"2021/03"	55804	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2021"	"2021/04"	50493	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2021"	"2021/05"	51733	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2021"	"2021/06"	50894	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2021"	"2021/07"	52854	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2021"	"2021/08"	59626	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2021"	"2021/09"	61708	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2021"	"2021/10"	62350	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2021"	"2021/11"	60058	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2021"	"2021/12"	64955	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2022"	"2022/01"	73650	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2022"	"2022/02"	60067	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2022"	"2022/03"	55316	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2022"	"2022/04"	51059	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2022"	"2022/05"	52892	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2022"	"2022/06"	51947	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2022"	"2022/07"	54740	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2022"	"2022/08"	53594	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2022"	"2022/09"	51999	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2022"	"2022/10"	52577	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2022"	"2022/11"	56037	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2022"	"2022/12"	64143	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2023 (provisional)"	"2023/01"	59891	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2023 (provisional)"	"2023/02"	52060	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2023 (provisional)"	"2023/03"	56586	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2023 (provisional)"	"2023/04"	53571	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2023 (provisional)"	"2023/05"	51783	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2023 (provisional)"	"2023/06"	49834	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2023 (provisional)"	"2023/07"	51605	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2023 (provisional)"	"2023/08"	51589	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2023 (provisional)"	"2023/09"	50163	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2023 (provisional)"	"2023/10"	52925	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2023 (provisional)"	"2023/11"	53331	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Dec., 2023 (provisional)"	"2023/12"	58249	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jan., 2024 (provisional)"	"2024/01"	60077	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Feb., 2024 (provisional)"	"2024/02"	51579	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Mar., 2024 (provisional)"	"2024/03"	53772	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Apr., 2024 (provisional)"	"2024/04"	51570	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"May, 2024 (provisional)"	"2024/05"	52462	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jun., 2024 (provisional)"	"2024/06"	50914	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Jul., 2024 (provisional)"	"2024/07"	52507	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Aug., 2024 (provisional)"	"2024/08"	51349	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Sep., 2024 (provisional)"	"2024/09"	48949	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Oct., 2024 (provisional)"	"2024/10"	47366	Not Applicable	Not Applicable
	"Census Region 4: West"	"CENS-R4"	"Nov., 2024 (provisional and partial)"	"2024/11"	9308	Not Applicable	Not Applicable
"Total"	"Census Region 4: West"	"CENS-R4"			4378944	Not Applicable	Not Applicable
"Total"					21474840	Not Applicable	Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Group By: Residence Census Region; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Nov 22, 2024 2:18:31 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2022,"
"and from provisional data for years 2023-2024, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Nov 22, 2024 2:18:31"
"AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Connecticut population estimates for 2022 are reported for 9 planning regions as county equivalent areas, instead of the"
"former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. Populations"
"estimates for the former counties are not available for 2022. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"3. Deaths occurring through November 09, 2024 as of November 17, 2024."
