"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"#Alzheimer disease (G30)"	"GR113-052"	270	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2406	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	437	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	244	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	385	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	215	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	199	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	154	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 08 ending February 24, 2024 (provisional)"	"2024/08"	"#COVID-19 (U07.1)"	"GR113-137"	151	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Septicemia (A40-A41)"	"GR113-010"	188	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1979	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	254	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Alzheimer disease (G30)"	"GR113-052"	328	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2371	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	446	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	286	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	406	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	222	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	186	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	131	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 09 ending March 02, 2024 (provisional)"	"2024/09"	"#COVID-19 (U07.1)"	"GR113-137"	132	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Septicemia (A40-A41)"	"GR113-010"	179	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1961	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	248	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Alzheimer disease (G30)"	"GR113-052"	286	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2345	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	416	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	266	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	436	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	213	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	224	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	160	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 10 ending March 09, 2024 (provisional)"	"2024/10"	"#COVID-19 (U07.1)"	"GR113-137"	123	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Septicemia (A40-A41)"	"GR113-010"	150	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2065	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	259	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Alzheimer disease (G30)"	"GR113-052"	275	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2373	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	472	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	227	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	408	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	238	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	169	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	149	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 11 ending March 16, 2024 (provisional)"	"2024/11"	"#COVID-19 (U07.1)"	"GR113-137"	121	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Septicemia (A40-A41)"	"GR113-010"	172	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1985	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	232	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Alzheimer disease (G30)"	"GR113-052"	261	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2267	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	411	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	216	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	436	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	211	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	191	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	172	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 12 ending March 23, 2024 (provisional)"	"2024/12"	"#COVID-19 (U07.1)"	"GR113-137"	94	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Septicemia (A40-A41)"	"GR113-010"	158	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1966	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	256	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Alzheimer disease (G30)"	"GR113-052"	300	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2315	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	460	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	223	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	401	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	211	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	179	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	147	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 13 ending March 30, 2024 (provisional)"	"2024/13"	"#COVID-19 (U07.1)"	"GR113-137"	72	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Septicemia (A40-A41)"	"GR113-010"	152	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1955	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	276	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Alzheimer disease (G30)"	"GR113-052"	276	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2326	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	457	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	190	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	406	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	213	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	190	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	169	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 14 ending April 06, 2024 (provisional)"	"2024/14"	"#COVID-19 (U07.1)"	"GR113-137"	65	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Septicemia (A40-A41)"	"GR113-010"	159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2025	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	277	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Alzheimer disease (G30)"	"GR113-052"	291	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2283	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	426	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	200	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	420	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	227	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	192	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	174	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 15 ending April 13, 2024 (provisional)"	"2024/15"	"#COVID-19 (U07.1)"	"GR113-137"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Septicemia (A40-A41)"	"GR113-010"	144	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1992	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	261	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Alzheimer disease (G30)"	"GR113-052"	261	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2199	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	445	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	168	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	380	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	207	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	214	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	173	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 16 ending April 20, 2024 (provisional)"	"2024/16"	"#COVID-19 (U07.1)"	"GR113-137"	55	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Septicemia (A40-A41)"	"GR113-010"	176	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2008	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	236	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Alzheimer disease (G30)"	"GR113-052"	269	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2213	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	486	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	174	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	411	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	181	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	171	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	184	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 17 ending April 27, 2024 (provisional)"	"2024/17"	"#COVID-19 (U07.1)"	"GR113-137"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Septicemia (A40-A41)"	"GR113-010"	171	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2002	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	259	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Alzheimer disease (G30)"	"GR113-052"	244	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	388	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	358	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	192	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	202	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	195	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 18 ending May 04, 2024 (provisional)"	"2024/18"	"#COVID-19 (U07.1)"	"GR113-137"	42	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2024 Week 19 ending May 11, 2024 (provisional)"	"2024/19"	"#Septicemia (A40-A41)"	"GR113-010"	169	Not Applicable	Not Applicable
